ID_compra,filial,cidade,tipo_cliente,genero,tipo_produto,preco_unitario,quantidade,imposto_5%,total,data,hora,forma_pagamento,avaliacao
750-67-8428,A,Santo André,Membro,Feminino,Saúde e Beleza,74.69,7,26.1415,548.9715,2024-01-05,13:08:00,Carteira Digital,9.1
226-31-3081,C,São Caetano,Normal,Feminino,Eletrônicos,15.28,5,3.82,80.22,2024-03-08,10:29:00,Dinheiro,9.6
631-41-3108,A,Santo André,Normal,Masculino,Casa,46.33,7,16.2155,340.5255,2024-03-03,13:23:00,Cartão de Crédito,7.4
123-19-1176,A,Santo André,Membro,Masculino,Saúde e Beleza,58.22,8,23.288,489.048,2024-01-27,20:33:00,Carteira Digital,8.4
373-73-7910,A,Santo André,Normal,Masculino,Esportes e Viagem,86.31,7,30.2085,634.3785,2024-02-08,10:37:00,Carteira Digital,5.3
699-14-3026,C,São Caetano,Normal,Masculino,Eletrônicos,85.39,7,29.8865,627.6165,2024-03-25,18:30:00,Carteira Digital,4.1
355-53-5943,A,Santo André,Membro,Feminino,Eletrônicos,68.84,6,20.652,433.692,2024-02-25,14:36:00,Carteira Digital,5.8
315-22-5665,C,São Caetano,Normal,Feminino,Casa,73.56,10,36.78,772.38,2024-02-24,11:38:00,Carteira Digital,8.0
665-32-9167,A,Santo André,Membro,Feminino,Saúde e Beleza,36.26,2,3.626,76.146,2024-01-10,17:15:00,Cartão de Crédito,7.2
692-92-5582,B,São Bernardo do Campo,Membro,Feminino,Alimentos e Bebidas,54.84,3,8.226,172.746,2024-02-20,13:27:00,Cartão de Crédito,5.9
351-62-0822,B,São Bernardo do Campo,Membro,Feminino,Moda,14.48,4,2.896,60.816,2024-02-06,18:07:00,Carteira Digital,4.5
529-56-3974,B,São Bernardo do Campo,Membro,Masculino,Eletrônicos,25.51,4,5.102,107.142,2024-03-09,17:03:00,Dinheiro,6.8
365-64-0515,A,Santo André,Normal,Feminino,Eletrônicos,46.95,5,11.7375,246.4875,2024-02-12,10:25:00,Carteira Digital,7.1
252-56-2699,A,Santo André,Normal,Masculino,Alimentos e Bebidas,43.19,10,21.595,453.495,2024-02-07,16:48:00,Carteira Digital,8.2
829-34-3910,A,Santo André,Normal,Feminino,Saúde e Beleza,71.38,10,35.69,749.49,2024-03-29,19:21:00,Dinheiro,5.7
299-46-1805,B,São Bernardo do Campo,Membro,Feminino,Esportes e Viagem,93.72,6,28.116,590.436,2024-01-15,16:19:00,Dinheiro,4.5
656-95-9349,A,Santo André,Membro,Feminino,Saúde e Beleza,68.93,7,24.1255,506.6355,2024-03-11,11:03:00,Cartão de Crédito,4.6
765-26-6951,A,Santo André,Normal,Masculino,Esportes e Viagem,72.61,6,21.783,457.443,2024-01-01,10:39:00,Cartão de Crédito,6.9
329-62-1586,A,Santo André,Normal,Masculino,Alimentos e Bebidas,54.67,3,8.2005,172.2105,2024-01-21,18:00:00,Cartão de Crédito,8.6
319-50-3348,B,São Bernardo do Campo,Normal,Feminino,Casa,40.3,2,4.03,84.63,2024-03-11,15:30:00,Carteira Digital,4.4
300-71-4605,C,São Caetano,Membro,Masculino,Eletrônicos,86.04,5,21.51,451.71,2024-02-25,11:24:00,Carteira Digital,4.8
