iter	Passed	Remaining
0	15	1534
1	50	2458
2	72	2339
3	88	2121
4	105	2011
5	117	1844
6	130	1733
7	145	1676
8	160	1624
9	173	1557
10	185	1500
11	197	1448
12	209	1404
13	222	1364
14	234	1331
15	247	1301
16	260	1270
17	272	1242
18	285	1218
19	296	1186
20	307	1155
21	317	1127
22	329	1101
23	343	1086
24	357	1073
25	369	1052
26	381	1032
27	394	1013
28	406	994
29	417	974
30	428	954
31	439	934
32	450	915
33	462	897
34	472	877
35	483	859
36	493	841
37	504	823
38	515	805
39	528	792
40	539	776
41	557	769
42	572	758
43	587	747
44	601	734
45	616	723
46	630	710
47	646	699
48	660	687
49	677	677
50	693	666
51	707	652
52	720	638
53	731	623
54	743	608
55	753	592
56	766	577
57	778	563
58	790	549
59	802	534
60	814	520
61	826	506
62	839	492
63	851	479
64	863	465
65	876	451
66	889	437
67	899	423
68	910	409
69	921	394
70	932	380
71	942	366
72	954	353
73	966	339
74	979	326
75	991	313
76	1004	300
77	1019	287
78	1032	274
79	1047	261
80	1060	248
81	1074	235
82	1089	223
83	1103	210
84	1118	197
85	1132	184
86	1145	171
87	1157	157
88	1170	144
89	1184	131
90	1196	118
91	1207	105
92	1220	91
93	1236	78
94	1259	66
95	1283	53
96	1303	40
97	1330	27
98	1362	13
99	1382	0
