iter	RMSE
0	11944.49704
1	11859.69332
2	11785.71544
3	11713.82066
4	11647.85137
5	11591.61041
6	11543.0887
7	11497.70412
8	11456.08859
9	11410.96835
10	11380.54177
11	11347.28638
12	11326.21951
13	11298.45148
14	11274.28172
15	11249.38512
16	11234.60907
17	11221.75832
18	11206.44555
19	11200.53026
20	11191.54585
21	11175.06183
22	11164.75208
23	11157.75902
24	11143.64416
25	11133.60711
26	11118.51756
27	11108.72787
28	11102.35663
29	11095.04952
30	11089.86145
31	11082.67915
32	11071.6498
33	11064.7543
34	11053.53359
35	11043.25138
36	11026.64945
37	11021.01782
38	11017.59651
39	11009.22833
40	11001.9666
41	10990.04899
42	10978.02689
43	10968.47467
44	10958.31307
45	10956.19056
46	10948.20074
47	10945.66974
48	10944.78499
49	10937.18188
50	10932.92547
51	10927.1513
52	10917.32749
53	10911.83403
54	10898.92082
55	10893.45432
56	10883.09853
57	10880.1373
58	10867.94621
59	10856.18169
60	10847.62471
61	10841.19471
62	10833.79582
63	10824.64823
64	10812.70512
65	10809.46744
66	10803.6751
67	10797.62748
68	10793.33633
69	10787.05381
70	10780.07385
71	10773.60109
72	10762.55201
73	10754.45293
74	10743.96856
75	10735.65819
76	10721.24913
77	10713.46887
78	10706.44465
79	10697.43617
80	10689.51053
81	10678.91538
82	10674.68859
83	10668.15124
84	10661.77488
85	10657.72539
86	10654.27226
87	10647.68521
88	10636.16035
89	10616.21648
90	10611.48158
91	10600.90435
92	10594.88079
93	10578.81746
94	10569.18235
95	10557.29589
96	10551.24419
97	10546.47149
98	10544.42198
99	10537.52199
