iter	Passed	Remaining
0	0	34
1	0	31
2	0	29
3	1	28
4	1	27
5	1	26
6	1	26
7	2	25
8	2	24
9	2	24
10	2	23
11	3	23
12	3	22
13	3	22
14	3	22
15	4	21
16	4	21
17	4	22
18	5	22
19	5	23
20	6	22
21	6	22
22	6	23
23	7	23
24	7	23
25	8	23
26	8	23
27	8	23
28	10	25
29	10	25
30	11	24
31	11	24
32	11	23
33	12	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	19
42	14	19
43	15	19
44	15	18
45	15	18
46	15	17
47	16	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	19	14
57	19	14
58	19	13
59	21	14
60	22	14
61	22	13
62	22	13
63	23	13
64	24	13
65	25	12
66	25	12
67	26	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	31	3
89	32	3
90	32	3
91	32	2
92	33	2
93	33	2
94	33	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
