iter	RMSE
0	11998.72084
1	11917.47823
2	11847.05015
3	11778.52075
4	11719.80683
5	11661.73091
6	11613.0964
7	11569.14939
8	11518.23634
9	11478.59233
10	11436.1368
11	11408.80737
12	11386.63456
13	11366.74627
14	11346.24767
15	11324.10474
16	11308.79038
17	11293.94268
18	11276.97788
19	11259.7982
20	11248.71949
21	11237.6472
22	11225.82147
23	11205.99835
24	11191.56014
25	11180.85706
26	11167.50434
27	11153.48106
28	11144.01959
29	11138.18785
30	11126.57844
31	11119.604
32	11115.74843
33	11105.85262
34	11099.89866
35	11089.61205
36	11083.09621
37	11071.94975
38	11065.89631
39	11057.34958
40	11051.69298
41	11044.32266
42	11035.32928
43	11031.80687
44	11027.50467
45	11024.66399
46	11020.69169
47	11017.3609
48	11011.77998
49	11008.25664
50	11006.01069
51	11002.43862
52	10999.86016
53	10996.89741
54	10989.36518
55	10987.35842
56	10980.9366
57	10975.26312
58	10969.92582
59	10966.21147
60	10957.78372
61	10950.773
62	10946.31038
63	10944.52762
64	10929.75652
65	10922.87192
66	10919.75641
67	10917.54259
68	10912.07635
69	10906.87805
70	10896.3119
71	10890.18171
72	10886.10677
73	10880.92296
74	10877.9329
75	10873.26079
76	10858.77431
77	10850.3106
78	10845.66158
79	10840.46297
